template_id,name,type,from,title,content
1,ユーザ新規作成,2,noreply@proattend.jp,管理ユーザ新規作成,"{{$name}}さん

ProAttendClubの管理ユーザが作成されました。

email:{{$email}}
password:{{$password}}

以下のURLからログインしてください。
{{$url}}

※パスワードはログイン後に変更してください。"
2,パスワードリセット,2,noreply@proattend.jp,パスワードリセット,"{{$name}}さん

パスワードを再発行しました。
以下のパスワードでログインしてください。

password：{{$password}}
ログインはこちら
{{$url}}

※パスワードはログイン後に変更してください。
"
3,仮会員フォーム発行,1,noreply@proattend.jp,【ProAttend Club】仮会員登録フォームを発行しました,"この度はProAttend Clubへアクセスいただきありがとうございます。
以下URLより、仮会員登録をいただきますようお願いいたします。
{{$url}}

仮会員登録URLの有効期限は30日間となっております。
30日間を経過した場合は、再度メールアドレス確認をお願いいたします。

※このメールはProAttend Clubへメールアドレス確認をおこなった方に自動で配信しています。
※本メールにお心当たりがない場合は、お手数おかけしますが、下記に記載しております問い合わせ先までご連絡をいただきますようお願いいたします。
***************************************
株式会社audience（ProAttend運営会社）
〒100-0004
東京都千代田区大手町1-6-1大手町ビル8階
ProAttend Club　運営担当者
お問い合わせ先：info@proattend.jp
***************************************
"
4,仮登録,1,noreply@proattend.jp,【ProAttend Club】経歴・職務経歴ご入力のお願い／仮会員登録完了のご連絡,"{{$name}}様

この度はProAttend Clubへ仮登録いただきありがとうございます。
以下URLより、経歴・職務経歴のご入力をお願いいたします。
{{$url}}

なお、経歴・職務経歴のご入力URLへのアクセスは仮会員登録をいただいた日より30日間となっておりますので、お早めにご入力いただきますようお願いいたします。

※このメールはProAttend Clubへ仮登録を行った方に自動で配信しています。
※本メールにお心当たりがない場合は、お手数おかけしますが、下記に記載しております問い合わせ先までご連絡をいただきますようお願いいたします。
***************************************
株式会社audience（ProAttend運営会社）
〒100-0004
東京都千代田区大手町1-6-1大手町ビル8階
ProAttend Club　運営担当者
お問い合わせ先：info@proattend.jp
***************************************
"
5,仮会員経歴入力完了,1,noreply@proattend.jp,【ProAttend Club】経歴・職務経歴入力完了のご連絡,"{{$name}}様
この度はProAttend Clubご入会に際して、経歴・職務経歴をご入力いただきありがとうございます。
ご入力いただいた内容を確認させていただき、一度面談のうえ詳細お聞かせいただきたく思いますので、改めて弊社担当よりお電話もしくはご登録いただきましたメールアドレスにご連絡させていただきます。

今後とも引き続きよろしくお願いいたします。

※本メールにお心当たりがない場合は、お手数おかけしますが、下記に記載しております問い合わせ先までご連絡をいただきますようお願いいたします。
***************************************
株式会社audience（ProAttend運営会社）
〒100-0004
東京都千代田区大手町1-6-1大手町ビル8階
ProAttend Club　運営担当者
お問い合わせ先：info@proattend.jp
***************************************
"
6,面談日程候補提示,1,interview@proattend.jp,【ProAttend Club】面談日程調整のご連絡,"{{$name}}様

この度はProAttend Clubへご登録いただき誠にありがとうございます。
{{$name}}様の詳しいお話をお聞かせいただきたく思うのですが、以下日時のご都合はいかがでしょうか。
※所要時間は30～1時間程度です。

{{$content}}

ご都合よい日時をご返信いただきますようお願いいたします。
万が一上記日時が難しい場合、別日程で調整致しますのでお申し付けください。

何卒宜しくお願い申し上げます。

※本メールにお心当たりがない場合は、お手数おかけしますが、下記に記載しております問い合わせ先までご連絡をいただきますようお願いいたします。
***************************************
株式会社audience（ProAttend運営会社）
〒100-0004
東京都千代田区大手町1-6-1大手町ビル8階
ProAttend Club　運営担当者
お問い合わせ先：info@proattend.jp
***************************************
"
7,本会員見送り,1,noreply@proattend.jp,【ProAttend Club】審査結果のご連絡,"{{$name}}様

先日はご面談のお時間をいただきありがとうございました。
誠に残念ながら、今回については{{$name}}様のご期待に添えない結果となりました。
大変申し訳ございません。

{{$name}}様の今後のご活躍とご健勝をお祈り申し上げます。

※本メールにお心当たりがない場合は、お手数おかけしますが、下記に記載しております問い合わせ先までご連絡をいただきますようお願いいたします。
***************************************
株式会社audience（ProAttend運営会社）
〒100-0004
東京都千代田区大手町1-6-1大手町ビル8階
ProAttend Club　運営担当者
お問い合わせ先：info@proattend.jp
***************************************
"
8,本会員登録,1,noreply@proattend.jp,【ProAttend Club】会員登録の完了お知らせ,"{{$name}}様

先日はご面談のお時間をいただきありがとうございました。
厳正なる審査の結果、{{$name}}様をProfessional Memberとして会員登録させていただくことになりましたことお知らせいたします。

ログイン情報については以下の通りとなります。
ログインID：{{$email}}
パスワード：仮登録時に設定いただいたもの
ログインURL：{{$url}}

ProAttend Clubを今後とも何卒よろしくお願い申し上げます。

※本メールにお心当たりがない場合は、お手数おかけしますが、下記に記載しております問い合わせ先までご連絡をいただきますようお願いいたします。
***************************************
株式会社audience（ProAttend運営会社）
〒100-0004
東京都千代田区大手町1-6-1大手町ビル8階
ProAttend Club　運営担当者
お問い合わせ先：info@proattend.jp
***************************************
"
9,パスワードリセット（会員）,1,noreply@proattend.jp,【ProAttend Club】パスワードリセットを受け付けました,"平素よりProAttend Clubをご利用いただき、誠にありがとうございます。
パスワードリセットを受け付けました。

以下のURLから新しいパスワードを設定してください。
{{$url}}

※本メールにお心当たりがない場合は、お手数おかけしますが、下記に記載しております問い合わせ先までご連絡をいただきますようお願いいたします。

***************************************
株式会社audience（ProAttend運営会社）  
〒100-0004
東京都千代田区大手町1-6-1大手町ビル8階
ProAttend Club　運営担当者
お問い合わせ先：info@proattend.jp
***************************************
"
10,意見箱返信,3,noreply@proattend.jp,【ProAttend Club】ご意見箱にメッセージが届きました,"{{$name}}様

ご意見箱にメッセージが届いております。
ご確認をお願いいたします。

タイトル：{{$title}}
コメント内容：
{{$content}}

詳細はこちら
{{$url}}

***************************************
株式会社audience（ProAttend運営会社）
〒100-0004
東京都千代田区大手町1-6-1大手町ビル8階
ProAttend Club　運営担当者
お問い合わせ先：info@proattend.jp
***************************************
"
11,名刺作成依頼,2,noreply@proattend.jp,【ProAttend Club】名刺作成依頼のお知らせ,"{{$name}}様より名刺作成のご依頼がありました。
ご対応をお願いいたします。

名刺作成依頼の詳細はこちら
{{$url}}
"
12,本会員退会完了（to管理）,2,noreply@proattend.jp,【ProAttend Club】退会が完了しました,"{{$name}}様が退会しました。

{{$name}}様の詳細はこちら
{{$url}}
"
13,本会員退会完了（to会員）,1,noreply@proattend.jp,【ProAttend Club】退会手続きが完了しました,"{{$name}}様

ProAttend Clubの退会手続きが完了いたしました。
この度はProAttend Clubをご利用いただき、誠にありがとうございました。

※本メールにお心当たりがない場合は、お手数おかけしますが、下記に記載しております問い合わせ先までご連絡をいただきますようお願いいたします。
***************************************
株式会社audience（ProAttend運営会社）
〒100-0004
東京都千代田区大手町1-6-1大手町ビル8階
ProAttend Club　運営担当者
お問い合わせ先：info@proattend.jp
***************************************
"
14,稼働状況のリマインド,1,noreply@proattend.jp,【ProAttend Club】稼働可能状況の入力のお願い,"{{$name}}様

平素よりProAttend Clubをご利用いただき、誠にありがとうございます。
以下より直近の稼働可能状況をご入力いただきますようお願いいたします。

入力画面はこちら
{{$url}}

※本メールにお心当たりがない場合は、お手数おかけしますが、下記に記載しております問い合わせ先までご連絡をいただきますようお願いいたします。
***************************************
株式会社audience（ProAttend運営会社）
〒100-0004
東京都千代田区大手町1-6-1大手町ビル8階
ProAttend Club　運営担当者
お問い合わせ先：info@proattend.jp
***************************************
"
15,案件公開,1,noreply@proattend.jp,【ProAttend Club】新しい案件情報が公開されました。,"{{$name}}様

平素よりProAttend Clubをご利用いただき、誠にありがとうございます。
新しい案件情報が公開されましたのでお知らせいたします。
現在下記の業務に関する人材を募集しております。
ご希望の方は以下のリンクよりご応募ください。

＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊
件名：{{$subject}}
業種：{{$industry_type}}
概要：
{{$overview}}
業務内容：
{{$content}}
報酬：{{$reward}}
期間：{{$period}}
地域：{{$area}}
週の稼働日数：{{$weekly_working_days}}
対象会社：{{$target_company}}
売上規模：{{$sales_scale}}
働き方：{{$work_style}}
その他応募条件：{{$qualifications}}
公開範囲：{{$publication_range}}
申込期間：{{$application_start_date}}～{{$application_end_date}}
※他入力項目追加
＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊
案件の詳細はこちら
{{$url}}

なお、応募に関しましては、業務依頼を確約するものではなく、応募者多数の場合は、面談など別途審査がございますことをあらかじめご了承ください。

※本メールにお心当たりがない場合は、お手数おかけしますが、下記に記載しております問い合わせ先までご連絡をいただきますようお願いいたします。
***************************************
株式会社audience（ProAttend運営会社）
〒100-0004
東京都千代田区大手町1-6-1大手町ビル8階
ProAttend Club　運営担当者
お問い合わせ先：info@proattend.jp
***************************************
"
16,請求データ作成（定期請求）,1,noreply@proattend.jp,【ProAttend Club】ご請求が確定しました,"{{$name}}様

平素よりProAttend Clubをご利用いただき、誠にありがとうございます。
以下にてご請求が確定しましたのでお知らせいたします。

{{$title}}
ご請求金額：{{$total}}

ご請求の詳細はこちら
{{$url}}

※本メールにお心当たりがない場合は、お手数おかけしますが、下記に記載しております問い合わせ先までご連絡をいただきますようお願いいたします。
***************************************
株式会社audience（ProAttend運営会社）
〒100-0004
東京都千代田区大手町1-6-1大手町ビル8階
ProAttend Club　運営担当者
お問い合わせ先：info@proattend.jp
***************************************
"
17,請求データ作成（スポット）,1,noreply@proattend.jp,【ProAttend Club】ご請求が確定しました,"{{$name}}様

平素よりProAttend Clubをご利用いただき、誠にありがとうございます。
以下にてご請求が確定しましたのでお知らせいたします。

{{$title}}
ご請求金額：{{$total}}

ご請求の詳細はこちら
{{$url}}

※本メールにお心当たりがない場合は、お手数おかけしますが、下記に記載しております問い合わせ先までご連絡をいただきますようお願いいたします。
***************************************
株式会社audience（ProAttend運営会社）
〒100-0004
東京都千代田区大手町1-6-1大手町ビル8階
ProAttend Club　運営担当者
お問い合わせ先：info@proattend.jp
***************************************
"
