temporary_member_id,qualification
1,1
2,2
3,3
4,4
5,5
6,6
7,1
8,2
9,3
10,4
11,5
12,6
13,1
14,2
15,3
16,4
17,5
18,6
19,1
20,2
21,3
22,4
23,5
24,6
25,1
26,2
27,3
28,4
29,5
30,6
31,1
32,2
33,3
34,4
35,5
36,6
37,1
38,2
39,3
40,4
41,5
42,6
43,2
44,4
45,3
46,4
47,5
48,6
49,2
50,4
51,6
52,4
53,3
54,1
55,4
56,3
57,5
58,2
59,5
60,3
61,4
62,1
63,5
64,1
65,3
66,3
67,4
68,2
69,3
70,3
71,5
72,6
73,7
74,3
75,5
76,6
77,4
78,1
79,2
80,3
81,4
82,5
83,3
84,4
85,5
86,3
87,3
88,6
89,3
90,2
91,4
92,2
93,1
94,1
95,3
96,4
97,2
98,3
99,2
100,5
101,6
102,7
103,3
104,2
105,5
106,2
107,2
108,5
109,3
110,1
1,4
1,6
2,4
4,6
